exp_id,video file,resolution,FPS,length(s),sim_threshold,face_cnt,min_csize,face_cloth_weights,use_merging,number of persons,total time(s),DBI
exp0062,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,5,"[1.0, 0.7]",True,8,36.342,1.910944159318353
exp0063,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,5,"[1.0, 0.7]",False,11,36.727,1.492932813059852
exp0064,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,5,"[1.0, 0.8]",True,10,38.244,1.7398397572577622
exp0065,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,5,"[1.0, 0.8]",False,13,38.506,1.515279702610724
exp0066,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,5,"[1.0, 0.9]",True,9,37.784,1.5870943151695431
exp0067,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,5,"[1.0, 0.9]",False,11,38.394,1.5099392801140246
exp0068,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,5,"[1.0, 1.0]",True,9,39.157,1.655325394371331
exp0069,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,5,"[1.0, 1.0]",False,10,38.765,1.6302691543301515
exp0070,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,8,"[1.0, 0.3]",True,1,36.09,-10000000000.0
exp0071,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,8,"[1.0, 0.3]",False,9,36.616,1.4022726914907602
exp0072,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,8,"[1.0, 0.5]",True,4,38.156,2.6783750218299325
exp0073,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,8,"[1.0, 0.5]",False,9,36.557,1.4625712179899153
exp0074,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,8,"[1.0, 0.6]",True,6,38.055,2.3813045648678703
exp0075,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,8,"[1.0, 0.6]",False,10,36.465,1.520435331610291
exp0076,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,8,"[1.0, 0.7]",True,7,37.403,2.0413310168714567
exp0077,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,8,"[1.0, 0.7]",False,10,35.92,1.5576463378719705
exp0078,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,8,"[1.0, 0.8]",True,8,37.087,1.6998053466735716
exp0079,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,8,"[1.0, 0.8]",False,10,37.303,1.5804181063247678
exp0080,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,8,"[1.0, 0.9]",True,7,37.975,1.6925178682387183
exp0081,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,8,"[1.0, 0.9]",False,9,38.056,1.5869949362375662
exp0082,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,8,"[1.0, 1.0]",True,7,38.074,1.6990576822005576
exp0083,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,8,"[1.0, 1.0]",False,8,37.876,1.6758096288030355
exp0084,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,10,"[1.0, 0.3]",True,1,36.455,-10000000000.0
exp0085,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,10,"[1.0, 0.3]",False,9,36.302,1.402272725670456
exp0086,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,10,"[1.0, 0.5]",True,4,37.485,2.4097157315250155
exp0087,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,10,"[1.0, 0.5]",False,8,35.68,1.5022801007578124
exp0088,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,10,"[1.0, 0.6]",True,6,38.309,2.3060427730533486
exp0089,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,10,"[1.0, 0.6]",False,9,36.102,1.509874146998695
exp0090,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,10,"[1.0, 0.7]",True,7,36.427,1.9750089155671835
exp0091,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,10,"[1.0, 0.7]",False,9,35.909,1.5612217717514985
exp0092,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,10,"[1.0, 0.8]",True,7,36.355,1.7104126879708552
exp0093,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,10,"[1.0, 0.8]",False,8,36.117,1.6465169495871692
exp0094,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,10,"[1.0, 0.9]",True,6,37.576,1.703266575073142
exp0095,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,10,"[1.0, 0.9]",False,7,38.261,1.6651836995090612
exp0096,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,10,"[1.0, 1.0]",True,6,37.802,1.7508926344503806
exp0097,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,10,"[1.0, 1.0]",False,7,37.813,1.7169184841902592
exp0098,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,15,"[1.0, 0.3]",True,1,35.942,-10000000000.0
exp0099,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,15,"[1.0, 0.3]",False,7,36.101,1.4241984649060988
exp0100,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,15,"[1.0, 0.5]",True,4,35.437,2.1137400439876526
exp0101,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,15,"[1.0, 0.5]",False,7,35.539,1.423378980272609
exp0102,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,15,"[1.0, 0.6]",True,5,35.203,1.865333671676348
exp0103,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,15,"[1.0, 0.6]",False,7,35.059,1.455929126382282
exp0104,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,15,"[1.0, 0.7]",True,6,35.445,1.531630288652239
exp0105,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,15,"[1.0, 0.7]",False,7,34.799,1.4757537065579884
exp0106,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,15,"[1.0, 0.8]",True,7,36.623,1.7104126879708552
exp0107,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,15,"[1.0, 0.8]",False,8,36.656,1.6465168919589246
exp0108,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,15,"[1.0, 0.9]",True,6,37.146,1.703266575073142
exp0109,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,15,"[1.0, 0.9]",False,7,38.195,1.6651836827341373
exp0110,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,15,"[1.0, 1.0]",True,6,37.962,1.7508926344503806
exp0111,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,330,15,"[1.0, 1.0]",False,7,37.126,1.7169184496281196
exp0112,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,5,"[1.0, 0.3]",True,1,39.696,-10000000000.0
exp0113,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,5,"[1.0, 0.3]",False,12,39.681,1.4000204864830492
exp0114,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,5,"[1.0, 0.5]",True,4,41.734,2.9476355143597583
exp0115,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,5,"[1.0, 0.5]",False,12,40.356,1.4427223637979472
exp0116,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,5,"[1.0, 0.6]",True,7,40.664,2.1005200018102235
exp0117,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,5,"[1.0, 0.6]",False,11,39.695,1.4992145251184732
exp0118,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,5,"[1.0, 0.7]",True,7,40.56,1.9754285176808428
exp0119,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,5,"[1.0, 0.7]",False,11,39.845,1.532111332587089
exp0120,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,5,"[1.0, 0.8]",True,9,41.123,1.8856363859950165
exp0121,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,5,"[1.0, 0.8]",False,13,40.99,1.5439950935448832
exp0122,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,5,"[1.0, 0.9]",True,7,42.16,1.728207905357699
exp0123,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,5,"[1.0, 0.9]",False,10,41.554,1.6246471344828488
exp0124,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,5,"[1.0, 1.0]",True,7,41.116,1.7271954524805315
exp0125,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,5,"[1.0, 1.0]",False,8,41.16,1.7281358988664044
exp0126,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,8,"[1.0, 0.3]",True,1,39.078,-10000000000.0
exp0127,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,8,"[1.0, 0.3]",False,9,40.259,1.4462362445711492
exp0128,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,8,"[1.0, 0.5]",True,4,41.193,2.7924445029608256
exp0129,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,8,"[1.0, 0.5]",False,9,40.09,1.5064902764974308
exp0130,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,8,"[1.0, 0.6]",True,6,40.271,2.2823977382927776
exp0131,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,8,"[1.0, 0.6]",False,10,39.953,1.5645358426787384
exp0132,testvideo_3_0.mp4,720x1280,29.97,1065,0.6,350,8,"[1.0, 0.7]",True,6,40.897,2.135730329274123
